model,split,accuracy,f1_macro,nll,brier,ece,lppd,mean_uncertainty
base,val,0.8643 ± 0.0069,0.8639 ± 0.0070,2.4141 ± 0.2134,0.2670 ± 0.0132,0.1335 ± 0.0070,-2351.3614 ± 207.8295,0.0034 ± 0.0009
base,test,0.8534 ± 0.0050,0.8529 ± 0.0049,2.5567 ± 0.2389,0.2880 ± 0.0087,0.1438 ± 0.0050,-3121.6906 ± 291.6732,0.0036 ± 0.0011
base_de(2),test,0.8581 ± 0.0044,0.8576 ± 0.0043,1.9249 ± 0.1247,0.2494 ± 0.0044,0.1035 ± 0.0071,-2350.2732 ± 152.3045,0.0396 ± 0.0039
base_temperature,val,0.8643 ± 0.0069,0.8639 ± 0.0070,0.5022 ± 0.0168,0.2255 ± 0.0089,0.0324 ± 0.0089,-489.1394 ± 16.3410,0.1238 ± 0.0046
base_temperature,test,0.8534 ± 0.0050,0.8529 ± 0.0049,0.5250 ± 0.0211,0.2428 ± 0.0082,0.0355 ± 0.0077,-641.0597 ± 25.7150,0.1254 ± 0.0052
duo,val,0.8659 ± 0.0052,0.8655 ± 0.0054,0.4559 ± 0.0157,0.2108 ± 0.0085,0.0234 ± 0.0058,-444.0105 ± 15.2990,0.1228 ± 0.0044
duo,test,0.8562 ± 0.0034,0.8557 ± 0.0034,0.4736 ± 0.0173,0.2247 ± 0.0069,0.0272 ± 0.0088,-578.3039 ± 21.0647,0.1301 ± 0.0066
sidekick,val,0.7665 ± 0.0094,0.7660 ± 0.0095,3.2297 ± 0.2848,0.4582 ± 0.0205,0.2276 ± 0.0096,-3145.6845 ± 277.3722,0.0070 ± 0.0025
sidekick,test,0.7463 ± 0.0033,0.7462 ± 0.0032,3.4931 ± 0.2256,0.4964 ± 0.0072,0.2461 ± 0.0045,-4265.0388 ± 275.4365,0.0082 ± 0.0045
sidekick_de(2),test,0.7528 ± 0.0056,0.7526 ± 0.0058,2.6403 ± 0.1000,0.4303 ± 0.0053,0.1748 ± 0.0092,-3223.8064 ± 122.1236,0.0729 ± 0.0057
sidekick_temperature,val,0.7665 ± 0.0094,0.7660 ± 0.0095,0.7898 ± 0.0219,0.3698 ± 0.0116,0.0432 ± 0.0077,-769.3122 ± 21.3073,0.2242 ± 0.0070
sidekick_temperature,test,0.7463 ± 0.0033,0.7462 ± 0.0032,0.8372 ± 0.0179,0.3937 ± 0.0083,0.0389 ± 0.0061,-1022.1715 ± 21.8553,0.2270 ± 0.0114
